y,savannah,grassland,tundra,plains,prairie,desert,swamp,marsh,arctic
5,0.000000,0.036842,0.226316,0.491579,0.237895,0.000000,0.000000,0.007368,0.000000
5,0.000000,0.036842,0.226316,0.491579,0.237895,0.000000,0.000000,0.007368,0.000000
5,0.000000,0.036842,0.226316,0.491579,0.237895,0.000000,0.000000,0.007368,0.000000
5,0.000000,0.036842,0.226316,0.491579,0.237895,0.000000,0.000000,0.007368,0.000000
5,0.000000,0.036842,0.226316,0.491579,0.237895,0.000000,0.000000,0.007368,0.000000
6,0.000000,0.034182,0.229091,0.533091,0.197091,0.000000,0.000000,0.006545,0.000000
7,0.000000,0.026769,0.244105,0.532186,0.188018,0.000000,0.000000,0.008923,0.000000
8,0.000000,0.027730,0.250144,0.537839,0.177354,0.000000,0.000000,0.006932,0.000000
9,0.000000,0.025946,0.257838,0.516757,0.196757,0.000000,0.000000,0.002703,0.000000
10,0.000000,0.028659,0.248209,0.530706,0.186796,0.000000,0.000000,0.005629,0.000000
11,0.000000,0.045809,0.250000,0.497563,0.197856,0.002437,0.000000,0.006335,0.000000
12,0.000000,0.064516,0.246205,0.458729,0.207306,0.011385,0.000000,0.011860,0.000000
13,0.000000,0.080288,0.196154,0.458173,0.238462,0.011058,0.000000,0.015865,0.000000
14,0.000000,0.080745,0.194458,0.424749,0.247492,0.032011,0.000000,0.020545,0.000000
15,0.000000,0.083755,0.157386,0.405430,0.266452,0.066268,0.000000,0.020709,0.000000
16,0.000000,0.067555,0.147518,0.389246,0.274357,0.102482,0.000000,0.018842,0.000000
17,0.000000,0.068571,0.123333,0.361429,0.284762,0.146667,0.000000,0.015238,0.000000
18,0.000000,0.051331,0.015209,0.414449,0.352662,0.157319,0.000000,0.009030,0.000000
19,0.000000,0.096805,0.069079,0.319549,0.314850,0.170583,0.000000,0.029135,0.000000
20,0.000000,0.158485,0.050958,0.273025,0.301075,0.174381,0.000000,0.042076,0.000000
21,0.000000,0.180374,0.041589,0.251402,0.305607,0.172897,0.000000,0.048131,0.000000
22,0.000000,0.221753,0.031880,0.191280,0.295359,0.197375,0.000000,0.062353,0.000000
23,0.045717,0.231954,0.020693,0.158807,0.260346,0.179018,0.025505,0.077960,0.000000
24,0.085645,0.200000,0.014112,0.124574,0.272019,0.183942,0.045742,0.073966,0.000000
25,0.133755,0.234436,0.004377,0.075389,0.229572,0.194553,0.059339,0.068580,0.000000
26,0.181688,0.222222,0.000000,0.043395,0.220792,0.183119,0.079638,0.069146,0.000000
27,0.223152,0.200837,0.000000,0.026499,0.199442,0.191074,0.098559,0.060437,0.000000
28,0.290412,0.193608,0.000000,0.023622,0.138490,0.164891,0.131079,0.057897,0.000000
29,0.355823,0.160813,0.000000,0.009704,0.116913,0.160813,0.145564,0.050370,0.000000
30,0.435597,0.119906,0.000000,0.005152,0.079157,0.129742,0.180796,0.049649,0.000000
31,0.461145,0.129828,0.000000,0.004653,0.053048,0.109819,0.195905,0.045603,0.000000
32,0.523356,0.125170,0.000000,0.004989,0.039909,0.056689,0.206349,0.043537,0.000000
33,0.572973,0.110811,0.000000,0.003604,0.025676,0.025676,0.228378,0.032883,0.000000
34,0.592526,0.109860,0.000000,0.002251,0.018460,0.000000,0.235930,0.040973,0.000000
35,0.695807,0.115076,0.000000,0.000892,0.015165,0.000000,0.152988,0.020071,0.000000
36,0.683151,0.100656,0.000000,0.003063,0.016630,0.000000,0.162801,0.033698,0.000000
37,0.662727,0.130000,0.000000,0.002727,0.015909,0.000000,0.155000,0.033636,0.000000
38,0.546326,0.124601,0.000000,0.002282,0.034231,0.030123,0.230945,0.031492,0.000000
39,0.512073,0.113440,0.000000,0.005011,0.046925,0.066970,0.212756,0.042825,0.000000
40,0.457368,0.146432,0.000000,0.005097,0.055144,0.104727,0.187674,0.043559,0.000000
41,0.402861,0.146285,0.000000,0.005538,0.077065,0.161052,0.165205,0.041994,0.000000
42,0.336223,0.182938,0.000000,0.012318,0.115420,0.155566,0.140055,0.057482,0.000000
43,0.255464,0.194444,0.000000,0.029144,0.147541,0.201275,0.107013,0.065118,0.000000
44,0.211939,0.222119,0.000000,0.032855,0.186950,0.184174,0.095326,0.066636,0.000000
45,0.161514,0.227965,0.000000,0.035994,0.221043,0.199354,0.074758,0.079372,0.000000
46,0.128288,0.235810,0.009229,0.072450,0.241809,0.179972,0.063683,0.068759,0.000000
47,0.088747,0.236048,0.014181,0.123971,0.253431,0.180238,0.041171,0.062214,0.000000
48,0.043238,0.229531,0.022539,0.127415,0.293468,0.189052,0.025299,0.069457,0.000000
49,0.000000,0.231985,0.032078,0.191539,0.290098,0.186425,0.000000,0.067875,0.000000
50,0.000000,0.181444,0.037477,0.257313,0.276965,0.192870,0.000000,0.053931,0.000000
51,0.000000,0.147929,0.053710,0.273555,0.293582,0.194356,0.000000,0.036868,0.000000
52,0.000000,0.109577,0.065033,0.309131,0.300668,0.181292,0.000000,0.034298,0.000000
53,0.000000,0.065091,0.077129,0.345965,0.298707,0.196612,0.000000,0.016496,0.000000
54,0.000000,0.040248,0.053074,0.428571,0.336577,0.131800,0.000000,0.009730,0.000000
55,0.000000,0.064261,0.163732,0.382923,0.268046,0.109595,0.000000,0.011444,0.000000
56,0.000000,0.064374,0.174603,0.416667,0.269841,0.058642,0.000000,0.015873,0.000000
57,0.000000,0.070215,0.210644,0.426208,0.252683,0.021914,0.000000,0.018336,0.000000
58,0.000000,0.066033,0.226594,0.465853,0.213930,0.013569,0.000000,0.014021,0.000000
59,0.000000,0.050249,0.242191,0.489362,0.196922,0.005885,0.000000,0.015392,0.000000
60,0.000000,0.035500,0.280314,0.485477,0.187183,0.004610,0.000000,0.006916,0.000000
61,0.000000,0.021328,0.300533,0.512361,0.159961,0.000000,0.000000,0.005817,0.000000
62,0.000000,0.034149,0.286442,0.511723,0.162080,0.000000,0.000000,0.005607,0.000000
63,0.000000,0.028381,0.291597,0.499722,0.175292,0.000000,0.000000,0.005008,0.000000
64,0.000000,0.029936,0.275796,0.510191,0.180255,0.000000,0.000000,0.003822,0.000000
65,0.000000,0.035529,0.262028,0.517395,0.182087,0.000000,0.000000,0.002961,0.000000
65,0.000000,0.035529,0.262028,0.517395,0.182087,0.000000,0.000000,0.002961,0.000000
65,0.000000,0.035529,0.262028,0.517395,0.182087,0.000000,0.000000,0.002961,0.000000
65,0.000000,0.035529,0.262028,0.517395,0.182087,0.000000,0.000000,0.002961,0.000000
65,0.000000,0.035529,0.262028,0.517395,0.182087,0.000000,0.000000,0.002961,0.000000
65,0.000000,0.035529,0.262028,0.517395,0.182087,0.000000,0.000000,0.002961,0.000000
